service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111100-1,1,1,1,1,1,0,0,20250130,20250212
1111111-1,1,1,1,1,1,1,1,20250130,20250212
1111111-2,1,1,1,1,1,1,1,20250130,20250212
0000010-1,0,0,0,0,0,1,0,20250201,20250208
0000011-1,0,0,0,0,0,1,1,20250201,20250209
0000011-2,0,0,0,0,0,1,1,20250201,20250202
0000010-2,0,0,0,0,0,1,0,20250201,20250201
0000001-1,0,0,0,0,0,0,1,20250202,20250209
0000001-2,0,0,0,0,0,0,1,20250202,20250202
0000011-3,0,0,0,0,0,1,1,20250208,20250209
0000010-3,0,0,0,0,0,1,0,20250208,20250208
0000001-3,0,0,0,0,0,0,1,20250209,20250209
1111100-2,1,1,1,1,1,0,0,20250130,20250131
1111111-3,1,1,1,1,1,1,1,20250130,20250212
1111100-3,1,1,1,1,1,0,0,20250130,20250207
1111111-4,1,1,1,1,1,1,1,20250130,20250207
1111111-5,1,1,1,1,1,1,1,20250130,20250209
1111100-4,1,1,1,1,1,0,0,20250130,20250206
1111111-6,1,1,1,1,1,1,1,20250130,20250206
1111111-7,1,1,1,1,1,1,1,20250130,20250202
1111100-5,1,1,1,1,1,0,0,20250130,20250207
1111111-8,1,1,1,1,1,1,1,20250130,20250209
1111110-2,1,1,1,1,1,1,0,20250130,20250212
1111111-9,1,1,1,1,1,1,1,20250130,20250212
1111110-3,1,1,1,1,1,1,0,20250130,20250207
1111100-6,1,1,1,1,1,0,0,20250130,20250212
1111111-10,1,1,1,1,1,1,1,20250130,20250212
1111110-4,1,1,1,1,1,1,0,20250130,20250212
1111101-2,1,1,1,1,1,0,1,20250130,20250212
1111101-3,1,1,1,1,1,0,1,20250130,20250207
1111111-11,1,1,1,1,1,1,1,20250130,20250209
1111100-7,1,1,1,1,1,0,0,20250130,20250130
1111111-12,1,1,1,1,1,1,1,20250131,20250212
1111100-8,1,1,1,1,1,0,0,20250131,20250131
1111100-9,1,1,1,1,1,0,0,20250131,20250206
1111111-13,1,1,1,1,1,1,1,20250131,20250206
1111111-14,1,1,1,1,1,1,1,20250201,20250212
1111111-15,1,1,1,1,1,1,1,20250201,20250212
1111110-5,1,1,1,1,1,1,0,20250201,20250212
1111111-16,1,1,1,1,1,1,1,20250201,20250207
1111111-17,1,1,1,1,1,1,1,20250201,20250207
0000011-4,0,0,0,0,0,1,1,20250201,20250209
1111110-6,1,1,1,1,1,1,0,20250201,20250207
0000011-5,0,0,0,0,0,1,1,20250201,20250208
1111110-7,1,1,1,1,1,1,0,20250201,20250212
0000011-6,0,0,0,0,0,1,1,20250201,20250209
1111111-18,1,1,1,1,1,1,1,20250201,20250206
1111111-19,1,1,1,1,1,1,1,20250201,20250212
1111111-20,1,1,1,1,1,1,1,20250201,20250209
1111111-21,1,1,1,1,1,1,1,20250201,20250212
0000011-7,0,0,0,0,0,1,1,20250202,20250209
1111101-4,1,1,1,1,1,0,1,20250202,20250207
1111101-5,1,1,1,1,1,0,1,20250202,20250212
1111100-10,1,1,1,1,1,0,0,20250203,20250212
1111100-11,1,1,1,1,1,0,0,20250203,20250207
1111100-12,1,1,1,1,1,0,0,20250203,20250206
1111111-22,1,1,1,1,1,1,1,20250203,20250212
1111100-13,1,1,1,1,1,0,0,20250207,20250207
1111111-23,1,1,1,1,1,1,1,20250207,20250212
1111111-24,1,1,1,1,1,1,1,20250208,20250212
1111110-8,1,1,1,1,1,1,0,20250208,20250212
1111101-6,1,1,1,1,1,0,1,20250209,20250212
1111100-14,1,1,1,1,1,0,0,20250210,20250212
