service_id,date,exception_type
1111111-2,20250201,2
1111111-2,20250202,2
1111111-3,20250203,2
1111111-3,20250204,2
1111111-3,20250205,2
1111111-3,20250206,2
1111111-3,20250207,2
1111100-5,20250203,2
1111100-5,20250204,2
1111100-5,20250205,2
1111100-5,20250206,2
1111111-8,20250203,2
1111111-8,20250204,2
1111111-8,20250205,2
1111111-8,20250206,2
1111111-8,20250207,2
1111110-2,20250208,2
1111111-9,20250202,2
1111100-6,20250203,2
1111100-6,20250204,2
1111100-6,20250205,2
1111100-6,20250206,2
1111100-6,20250207,2
1111111-10,20250208,2
1111111-10,20250209,2
1111111-11,20250201,2
1111111-11,20250202,2
1111111-14,20250203,2
1111111-14,20250204,2
1111111-14,20250205,2
1111111-14,20250206,2
1111111-14,20250207,2
1111111-17,20250203,2
1111111-17,20250204,2
1111111-17,20250205,2
1111111-17,20250206,2
0000011-4,20250202,2
1111110-7,20250203,2
1111110-7,20250204,2
1111110-7,20250205,2
1111110-7,20250206,2
1111110-7,20250207,2
1111110-7,20250208,2
0000011-6,20250208,2
1111111-19,20250208,2
1111111-19,20250209,2
1111111-21,20250207,2
