stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code,asw_node_id,asw_stop_id,zone_region_type
U4Z1P,"Arbesovo náměstí",50.076248,14.404202,"P",,0,,1,,A,4,1,1
U4Z2P,"Arbesovo náměstí",50.075886,14.403978,"P",,0,,1,,B,4,2,1
U12Z1P,"Balabenka",50.104755,14.482805,"P",,0,,1,,A,12,1,1
U12Z2P,"Balabenka",50.104343,14.481877,"P",,0,,1,,B,12,2,1
U12Z3P,"Balabenka",50.104233,14.482921,"P",,0,,1,,C,12,3,1
U15Z1P,"Baterie",50.092392,14.369829,"P",,0,,1,,A,15,1,1
U15Z2P,"Baterie",50.092400,14.369411,"P",,0,,1,,B,15,2,1
U19Z1P,"Belárie",50.013611,14.401881,"P",,0,,1,,A,19,1,1
U19Z2P,"Belárie",50.012962,14.401796,"P",,0,,1,,B,19,2,1
U20Z1P,"Královský letohrádek",50.094227,14.404998,"P",,0,,1,,A,20,1,1
U20Z2P,"Královský letohrádek",50.094265,14.404529,"P",,0,,1,,B,20,2,1
U25Z1P,"Bertramka",50.072231,14.393291,"P",,0,,1,,A,25,1,1
U25Z2P,"Bertramka",50.072239,14.392435,"P",,0,,1,,B,25,2,1
U31Z1P,"Bílá Hora",50.075546,14.322789,"P",,0,,2,,A,31,1,1
U31Z2P,"Bílá Hora",50.075859,14.323386,"P",,0,,2,,B,31,2,1
U31Z3P,"Bílá Hora",50.075565,14.322862,"P",,0,,2,,C,31,3,1
U31Z4P,"Bílá Hora",50.075798,14.323382,"P",,0,,2,,D,31,4,1
U32Z1P,"Bílá labuť",50.090168,14.435472,"P",,0,,1,,A,32,1,1
U32Z2P,"Bílá labuť",50.090351,14.436262,"P",,0,,1,,B,32,2,1
U34Z1P,"Biskupcova",50.088543,14.468796,"P",,0,,1,,A,34,1,1
U34Z2P,"Biskupcova",50.089100,14.468635,"P",,0,,1,,B,34,2,1
U40Z1P,"Na Pískách",50.098957,14.369692,"P",,0,,1,,A,40,1,1
U40Z2P,"Na Pískách",50.099087,14.370345,"P",,0,,1,,B,40,2,1
U42Z1P,"Botanická zahrada",50.070499,14.419606,"P",,0,,1,,A,42,1,1
U42Z2P,"Botanická zahrada",50.071053,14.418922,"P",,0,,1,,B,42,2,1
U45Z1P,"Bruselská",50.073132,14.433302,"P",,0,,1,,A,45,1,1
U45Z2P,"Bruselská",50.072880,14.433224,"P",,0,,1,,B,45,2,1
U46Z1P,"Brusnice",50.092976,14.391733,"P",,0,,1,,A,46,1,1
U46Z2P,"Brusnice",50.093002,14.391259,"P",,0,,2,,B,46,2,1
U46Z3P,"Brusnice",50.093136,14.393169,"P",,0,,1,,C,46,3,1
U47Z1P,"Blatiny",50.065704,14.303621,"P",,0,,1,,A,47,1,1
U47Z2P,"Blatiny",50.065804,14.302096,"P",,0,,1,,B,47,2,1
U49Z4P,"Geologická",50.036510,14.388430,"P",,0,,1,,D,49,4,1
U49Z5P,"Geologická",50.036255,14.389439,"P",,0,,1,,E,49,5,1
U54Z1P,"Bulovka",50.116058,14.468149,"P",,0,,1,,A,54,1,1
U54Z2P,"Bulovka",50.116543,14.467761,"P",,0,,1,,B,54,2,1
U61Z1P,"Ciolkovského",50.087997,14.307127,"P",,0,,1,,A,61,1,1
U61Z2P,"Ciolkovského",50.087879,14.306657,"P",,0,,1,,B,61,2,1
U67Z2P,"Čechovo náměstí",50.068066,14.459471,"P",,0,,1,,B,67,2,1
U67Z4P,"Čechovo náměstí",50.067863,14.458237,"P",,0,,1,,D,67,4,1
U67Z7P,"Čechovo náměstí",50.068172,14.459037,"P",,0,,1,,G,67,7,1
U68Z1P,"Čechův most",50.094048,14.416890,"P",,0,,1,,A,68,1,1
U68Z2P,"Čechův most",50.094063,14.417685,"P",,0,,1,,B,68,2,1
U70Z1P,"Nové Strašnice",50.077885,14.510651,"P",,0,,1,,A,70,1,1
U70Z2P,"Nové Strašnice",50.077820,14.511354,"P",,0,,1,,B,70,2,1
U71Z1P,"Černý kůň",50.023079,14.403732,"P",,0,,1,,A,71,1,1
U71Z2P,"Černý kůň",50.022785,14.403572,"P",,0,,1,,B,71,2,1
U72Z1P,"Lehovec",50.106884,14.547227,"P",,0,,1,,A,72,1,1
U72Z2P,"Lehovec",50.106815,14.547981,"P",,0,,1,,B,72,2,1
U72Z3P,"Lehovec",50.106865,14.547380,"P",,0,,1,,C,72,3,1
U73Z1P,"Červený Vrch",50.096840,14.352972,"P",,0,,1,,A,73,1,1
U73Z2P,"Červený Vrch",50.096821,14.352312,"P",,0,,1,,B,73,2,1
U75Z1P,"Kolbenova",50.110622,14.515848,"P",,0,,1,,A,75,1,1
U75Z2P,"Kolbenova",50.110546,14.516171,"P",,0,,1,,B,75,2,1
U76Z1P,"Modřanská škola",50.009224,14.403053,"P",,0,,1,,A,76,1,1
U76Z2P,"Modřanská škola",50.008427,14.403114,"P",,0,,1,,B,76,2,1
U78Z1P,"Ládví",50.126484,14.470141,"P",,0,,1,,A,78,1,1
U78Z2P,"Ládví",50.126503,14.470993,"P",,0,,1,,B,78,2,1
U81Z1P,"Dělnická",50.103657,14.449817,"P",,0,,1,,A,81,1,1
U81Z2P,"Dělnická",50.102634,14.450039,"P",,0,,1,,B,81,2,1
U81Z3P,"Tusarova",50.100777,14.450017,"P",,0,,1,,C,81,3,1
U83Z1P,"Divadlo Na Fidlovačce",50.064831,14.436284,"P",,0,,1,,A,83,1,1
U83Z2P,"Divadlo Na Fidlovačce",50.064648,14.437134,"P",,0,,1,,B,83,2,1
U85Z1P,"Divoká Šárka",50.092602,14.323610,"P",,0,,1,,A,85,1,1
U85Z2P,"Divoká Šárka",50.092724,14.322720,"P",,0,,1,,B,85,2,1
U85Z3P,"Divoká Šárka",50.092728,14.325679,"P",,0,,1,,C,85,3,1
U85Z4P,"Divoká Šárka",50.092915,14.325331,"P",,0,,1,,D,85,4,1
U87Z1P,"Dlouhá třída",50.091671,14.427540,"P",,0,,1,,A,87,1,1
U87Z2P,"Dlouhá třída",50.090538,14.427900,"P",,0,,2,,B,87,2,1
U100Z1P,"Vltavská",50.099228,14.438122,"P",,0,,1,,A,100,1,1
U100Z2P,"Vltavská",50.098812,14.438766,"P",,0,,1,,B,100,2,1
U100Z3P,"Vltavská",50.098469,14.437243,"P",,0,,1,,C,100,3,1
U100Z4P,"Vltavská",50.099022,14.437513,"P",,0,,1,,D,100,4,1
U103Z1P,"Drinopol",50.083908,14.370667,"P",,0,,1,,A,103,1,1
U103Z2P,"Drinopol",50.083969,14.371602,"P",,0,,1,,B,103,2,1
U110Z1P,"Dvorce",50.047726,14.414384,"P",,0,,1,,A,110,1,1
U110Z2P,"Dvorce",50.047184,14.413954,"P",,0,,1,,B,110,2,1
U113Z1P,"Hlušičkova",50.064014,14.316410,"P",,0,,1,,A,113,1,1
U113Z2P,"Hlušičkova",50.063713,14.315658,"P",,0,,1,,B,113,2,1
U115Z1P,"Nádraží Holešovice",50.109669,14.437530,"P",,0,,1,,G,115,1,1
U115Z2P,"Nádraží Holešovice",50.109966,14.437506,"P",,0,,1,,H,115,2,1
U115Z3P,"Nádraží Holešovice",50.108181,14.439998,"P",,0,,1,,A,115,3,1
U115Z4P,"Nádraží Holešovice",50.108082,14.440874,"P",,0,,1,,B,115,4,1
U118Z1P,"Flora",50.077919,14.461516,"P",,0,,1,,A,118,1,1
U118Z2P,"Flora",50.077881,14.462435,"P",,0,,1,,B,118,2,1
U126Z2P,"Nádraží Podbaba",50.111187,14.394086,"P",,0,,1,,B,126,2,1
U126Z3P,"Nádraží Podbaba",50.111931,14.394122,"P",,0,,1,,C,126,3,1
U130Z1P,"Hadovka",50.099422,14.375146,"P",,0,,1,,A,130,1,1
U130Z2P,"Hadovka",50.099552,14.375713,"P",,0,,1,,B,130,2,1
U134Z1P,"Nádraží Libeň",50.102112,14.502190,"P",,0,,1,,A,134,1,1
U134Z2P,"Nádraží Libeň",50.101997,14.502460,"P",,0,,1,,B,134,2,1
U135Z1P,"Hloubětín",50.106178,14.536691,"P",,0,,1,,A,135,1,1
U135Z2P,"Hloubětín",50.106171,14.537567,"P",,0,,1,,B,135,2,1
U138Z1P,"Hellichova",50.085659,14.404176,"P",,0,,1,,A,138,1,1
U138Z2P,"Hellichova",50.084187,14.404471,"P",,0,,1,,B,138,2,1
U139Z1P,"Hercovka",50.122074,14.451224,"P",,0,,2,,A,139,1,1
U139Z2P,"Hercovka",50.121853,14.453302,"P",,0,,2,,B,139,2,1
U140Z1P,"Park Maxe van der Stoela",50.090679,14.385545,"P",,0,,1,,A,140,1,1
U140Z2P,"Park Maxe van der Stoela",50.090084,14.385859,"P",,0,,1,,B,140,2,1
U140Z3P,"Hládkov",50.088699,14.387568,"P",,0,,2,,C,140,3,1
U142Z1P,"Hlavní nádraží",50.086082,14.435114,"P",,0,,1,,A,142,1,1
U142Z2P,"Hlavní nádraží",50.085693,14.435928,"P",,0,,1,,B,142,2,1
U144Z1P,"Starý Hloubětín",50.104649,14.529970,"P",,0,,1,,A,144,1,1
U144Z2P,"Starý Hloubětín",50.104706,14.530711,"P",,0,,1,,B,144,2,1
U144Z5P,"Starý Hloubětín",50.104347,14.529913,"P",,0,,1,,F,144,5,1
U144Z6P,"Starý Hloubětín",50.104019,14.530208,"P",,0,,1,,V,144,6,1
U147Z5P,"Hlubočepy",50.042393,14.404600,"P",,0,,1,,E,147,5,1
U147Z6P,"Hlubočepy",50.042168,14.404387,"P",,0,,1,,F,147,6,1
U152Z1P,"Horky",50.061451,14.446627,"P",,0,,1,,A,152,1,1
U152Z2P,"Horky",50.061672,14.445897,"P",,0,,1,,B,152,2,1
U157Z1P,"Bořislavka",50.098522,14.364550,"P",,0,,1,,A,157,1,1
U157Z2P,"Bořislavka",50.098568,14.363780,"P",,0,,1,,B,157,2,1
U163Z1P,"Hradčanská",50.097298,14.404873,"P",,0,,1,,A,163,1,1
U163Z2P,"Hradčanská",50.097210,14.403853,"P",,0,,1,,B,163,2,1
U163Z11P,"Hradčanská (ul. Badeniho)",50.096478,14.408168,"P",,0,,2,,K,163,11,1
U163Z12P,"Hradčanská (ul. Badeniho)",50.096523,14.408307,"P",,0,,2,,L,163,12,1
U172Z1P,"Viktoria Žižkov",50.085091,14.444494,"P",,0,,1,,A,172,1,1
U172Z2P,"Viktoria Žižkov",50.084938,14.445333,"P",,0,,1,,B,172,2,1
U180Z1P,"Chmelnice",50.092556,14.486961,"P",,0,,1,,A,180,1,1
U180Z2P,"Chmelnice",50.092487,14.485838,"P",,0,,1,,B,180,2,1
U183Z1P,"Chodovská",50.056896,14.468380,"P",,0,,1,,A,183,1,1
U183Z2P,"Chodovská",50.056847,14.469275,"P",,0,,1,,B,183,2,1
U184Z3P,"Škola Radlice",50.059486,14.393484,"P",,0,,1,,C,184,3,1
U184Z4P,"Škola Radlice",50.059448,14.392871,"P",,0,,1,,D,184,4,1
U187Z1P,"Chotkovy sady",50.095024,14.409066,"P",,0,,2,,A,187,1,1
U187Z2P,"Chotkovy sady",50.095306,14.409021,"P",,0,,1,,B,187,2,1
U190Z1P,"I. P. Pavlova",50.075539,14.430594,"P",,0,,1,,A,190,1,1
U190Z2P,"I. P. Pavlova",50.075405,14.431689,"P",,0,,1,,B,190,2,1
U190Z3P,"I. P. Pavlova",50.076359,14.431996,"P",,0,,1,,C,190,3,1
U190Z4P,"I. P. Pavlova",50.075733,14.432039,"P",,0,,1,,D,190,4,1
U191Z1P,"Italská",50.078033,14.436517,"P",,0,,1,,A,191,1,1
U191Z2P,"Italská",50.078289,14.435564,"P",,0,,1,,B,191,2,1
U203Z1P,"Jindřišská",50.085083,14.430158,"P",,0,,1,,A,203,1,1
U203Z2P,"Jindřišská",50.085320,14.430784,"P",,0,,1,,B,203,2,1
U208Z1P,"Jiráskovo náměstí",50.076252,14.414158,"P",,0,,1,,A,208,1,1
U208Z2P,"Jiráskovo náměstí",50.076145,14.414001,"P",,0,,1,,B,208,2,1
U209Z1P,"Jiřího z Poděbrad",50.077255,14.450471,"P",,0,,2,,A,209,1,1
U209Z2P,"Jiřího z Poděbrad",50.077110,14.448688,"P",,0,,2,,B,209,2,1
U221Z1P,"Karlovy lázně",50.084572,14.413466,"P",,0,,1,,A,221,1,1
U221Z2P,"Karlovy lázně",50.084763,14.413747,"P",,0,,1,,B,221,2,1
U231Z1P,"Kamenická",50.099571,14.428855,"P",,0,,1,,A,231,1,1
U231Z2P,"Kamenická",50.099705,14.428417,"P",,0,,1,,B,231,2,1
U236Z1P,"Slánská",50.064468,14.309402,"P",,0,,1,,A,236,1,1
U236Z2P,"Slánská",50.064552,14.308531,"P",,0,,1,,B,236,2,1
U237Z1P,"Karlovo náměstí",50.075302,14.419109,"P",,0,,1,,A,237,1,1
U237Z2P,"Karlovo náměstí",50.076477,14.419256,"P",,0,,1,,B,237,2,1
U237Z3P,"Karlovo náměstí",50.075901,14.419612,"P",,0,,1,,C,237,3,1
U237Z4P,"Moráň",50.074024,14.418731,"P",,0,,1,,F,237,4,1
U237Z5P,"Palackého náměstí",50.073231,14.415247,"P",,0,,1,,L,237,5,1
U237Z6P,"Palackého náměstí",50.073277,14.414325,"P",,0,,1,,K,237,6,1
U237Z7P,"Palackého náměstí",50.072506,14.414109,"P",,0,,1,,I,237,7,1
U237Z8P,"Palackého náměstí",50.071945,14.414102,"P",,0,,1,,J,237,8,1
U237Z13P,"Novoměstská radnice",50.077457,14.419522,"P",,0,,1,,D,237,13,1
U240Z1P,"Kavalírka",50.070042,14.370630,"P",,0,,1,,A,240,1,1
U240Z2P,"Kavalírka",50.070122,14.371093,"P",,0,,1,,B,240,2,1
U249Z1P,"Ke Stírce",50.122673,14.455868,"P",,0,,2,,A,249,1,1
U249Z2P,"Ke Stírce",50.122986,14.456153,"P",,0,,1,,B,249,2,1
U254Z1P,"Klamovka",50.070702,14.380618,"P",,0,,1,,A,254,1,1
U254Z2P,"Klamovka",50.070583,14.379142,"P",,0,,1,,B,254,2,1
U262Z2P,"Korunovační",50.099705,14.420581,"P",,0,,1,,B,262,2,1
U266Z1P,"Kněžská luka",50.092186,14.492968,"P",,0,,1,,A,266,1,1
U266Z2P,"Kněžská luka",50.092148,14.492482,"P",,0,,1,,B,266,2,1
