route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,exceptional,sub_agency_id
L1,1111100-2,1_7752_250106,"Sídliště Petřiny",,1,,L1V1,1,0,1,1
L1,1111100-2,1_11522_241125,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_11523_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10798_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10799_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10330_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10331_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10352_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10353_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10370_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10371_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10394_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10395_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10775_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10414_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10776_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10777_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_8388_241216,"Vozovna Vokovice",,0,,L1V4,1,0,1,1
L1,1111100-2,1_8171_241223,"Sídliště Petřiny",,1,,L1V5,1,0,1,1
L1,1111100-2,1_11527_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_11528_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10810_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10811_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10350_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10351_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10368_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10369_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10392_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10393_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10411_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10412_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10781_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10782_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10783_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10784_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10549_241125,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10432_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_11536_241223,"Vozovna Kobylisy",,0,,L1V6,1,0,1,1
L1,1111100-2,1_10344_241125,"Výstaviště",,0,,L1V7,1,2,1,1
L1,1111100-2,1_10345_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_11524_241125,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10312_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10779_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10349_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10366_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10367_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10390_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10391_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10409_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10410_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10448_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10449_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10795_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10796_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10797_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10473_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_11540_241130,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10455_241130,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_11539_241125,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10614_241214,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10496_241214,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10436_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_11054_240907,"Vozovna Vokovice",,0,,L1V4,1,0,1,1
L1,1111100-2,1_11684_250106,"Sídliště Petřiny",,1,,L1V5,1,0,1,1
L1,1111100-2,1_11530_241125,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10347_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10822_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10823_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10388_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10389_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10407_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10408_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10446_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10447_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10468_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10806_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10807_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10808_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10809_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10483_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_11543_241125,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10485_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_11541_241223,"Vozovna Kobylisy",,0,,L1V6,1,0,1,1
L1,1111100-2,1_11685_250106,"Sídliště Petřiny",,1,,L1V5,2,0,1,1
L1,1111100-2,1_11535_250106,"Výstaviště",,0,,L1V2,2,2,0,1
L1,1111100-2,1_10385_250106,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-2,1_10834_250106,"Výstaviště",,0,,L1V2,2,2,0,1
L1,1111100-2,1_10835_250106,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-2,1_10405_250106,"Výstaviště",,0,,L1V2,2,2,0,1
L1,1111100-2,1_10406_250106,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-2,1_10444_250106,"Výstaviště",,0,,L1V2,2,2,0,1
L1,1111100-2,1_10445_250106,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-2,1_10466_250106,"Výstaviště",,0,,L1V2,2,2,0,1
L1,1111100-2,1_10467_250106,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-2,1_10287_250106,"Výstaviště",,0,,L1V2,2,2,0,1
L1,1111100-2,1_10818_241223,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-2,1_10819_241223,"Výstaviště",,0,,L1V2,2,2,0,1
L1,1111100-2,1_10290_241223,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-2,1_10820_241223,"Výstaviště",,0,,L1V2,2,2,0,1
L1,1111100-2,1_10292_241223,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-2,1_11525_241223,"Výstaviště",,0,,L1V2,2,2,0,1
L1,1111100-2,1_10689_241223,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-2,1_11653_241223,"Vozovna Kobylisy",,0,,L1V6,2,0,1,1
L1,1111100-2,1_11686_250106,"Sídliště Petřiny",,1,,L1V5,1,0,1,1
L1,1111100-2,1_11538_241125,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10847_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10848_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10849_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10442_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10443_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10464_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10465_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10285_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10286_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10305_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10830_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10831_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10832_241223,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10833_241223,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10322_241125,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_11529_241130,"Vozovna Kobylisy",,0,,L1V6,1,0,1,1
L1,1111111-1,1_10418_241026,"Sídliště Petřiny",,1,,L1V1,1,0,1,1
L1,1111100-2,1_10419_241125,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_11687_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10438_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10860_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10861_250106,"Výstaviště",,0,,L1V2,1,2,0,1
L1,1111100-2,1_10441_250106,"Sídliště Petřiny",,1,,L1V3,1,0,0,1
L1,1111100-2,1_10462_250106,"Výstaviště",,0,,L1V2,1,2,0,1
